Party,Candidate,Total Votes,Margin,Constituency_Name,Constituency_Number
Janata Dal  (United),DINESH CHANDRA YADAV,640649,174534,Madhepura,13
Janata Dal  (United),DR. ALOK KUMAR SUMAN,511866,127180,Gopalganj,17
Janata Dal  (United),VIJAYLAKSHMI DEVI,386508,92857,Siwan,18
Janata Dal  (United),AJAY KUMAR MANDAL,536031,104868,Bhagalpur,26
Janata Dal  (United),GIRIDHARI YADAV,506678,103844,Banka,27
Janata Dal  (United),RAJIV RANJAN SINGH ALIAS LALAN SINGH,550146,80870,Munger,28
Janata Dal  (United),KAUSHALENDRA KUMAR,559422,169114,Nalanda,29
Shiv Sena (Uddhav Balasaheb Thackrey),SANJAY UTTAMRAO DESHMUKH,594807,94473,Yavatmal- Washim,14
Shiv Sena (Uddhav Balasaheb Thackrey),AASHTIKAR PATIL NAGESH BAPURAO,492535,108602,Hingoli,15
Shiv Sena (Uddhav Balasaheb Thackrey),JADHAV SANJAY ( BANDU ) HARIBHAU,601343,134061,Parbhani,17
Shiv Sena (Uddhav Balasaheb Thackrey),RAJABHAU (PARAG) PRAKASH WAJE,616729,162001,Nashik,21
Shiv Sena (Uddhav Balasaheb Thackrey),SANJAY DINA PATIL,450937,29861,Mumbai North East,28
Shiv Sena (Uddhav Balasaheb Thackrey),ANIL YESHWANT DESAI,395138,53384,Mumbai South Central,30
Shiv Sena (Uddhav Balasaheb Thackrey),ARVIND GANPAT SAWANT,395655,52673,Mumbai South,31
Shiv Sena (Uddhav Balasaheb Thackrey),BHAUSAHEB RAJARAM WAKCHAURE,476900,50529,Shirdi,38
Shiv Sena (Uddhav Balasaheb Thackrey),OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,748752,329846,Osmanabad,40
Nationalist Congress Party – Sharadchandra Pawar,AMAR SHARADRAO KALE,533106,81648,Wardha,8
Nationalist Congress Party – Sharadchandra Pawar,BHASKAR MURLIDHAR BHAGARE,577339,113199,Dindori,20
Nationalist Congress Party – Sharadchandra Pawar,BALYA MAMA - SURESH GOPINATH MHATRE,499464,66121,Bhiwandi,23
Nationalist Congress Party – Sharadchandra Pawar,SUPRIYA SULE,732312,158333,Baramati,35
Nationalist Congress Party – Sharadchandra Pawar,DR. AMOL RAMSING KOLHE,698692,140951,Shirur,36
Nationalist Congress Party – Sharadchandra Pawar,NILESH DNYANDEV LANKE,624797,28929,Ahmednagar,37
Nationalist Congress Party – Sharadchandra Pawar,BAJRANG MANOHAR SONWANE,683950,6553,Beed,39
Nationalist Congress Party – Sharadchandra Pawar,MOHITE-PATIL DHAIRYASHEEL RAJSINH,622213,120837,Madha,43
Shiv Sena,JADHAV PRATAPRAO GANPATRAO,349867,29479,Buldhana,5
Shiv Sena,BHUMARE SANDIPANRAO ASARAM,476130,134650,Aurangabad,19
Shiv Sena,DR SHRIKANT EKNATH SHINDE,589636,209144,Kalyan,24
Shiv Sena,NARESH GANPAT MHASKE,734231,217011,Thane,25
Shiv Sena,RAVINDRA DATTARAM WAIKAR,452644,48,Mumbai North West,27
Shiv Sena,SHRIRANG APPA CHANDU BARNE,692832,96615,Maval,33
Shiv Sena,DHAIRYASHEEL SAMBHAJIRAO MANE,520190,13426,Hatkanangale,48
Lok Janshakti Party(Ram Vilas),VEENA DEVI,567043,89634,Vaishali,16
Lok Janshakti Party(Ram Vilas),CHIRAG PASWAN,615718,170105,Hajipur,21
Lok Janshakti Party(Ram Vilas),SHAMBHAVI,579786,187251,Samastipur,23
Lok Janshakti Party(Ram Vilas),RAJESH VERMA,538657,161131,Khagaria,25
Lok Janshakti Party(Ram Vilas),ARUN BHARTI,509046,112482,Jamui,40
Yuvajana Sramika Rythu Congress Party,GUMMA THANUJA RANI,477005,50580,Araku (ST),1
Yuvajana Sramika Rythu Congress Party,Y. S. AVINASH REDDY,605143,62695,Kadapa,21
Yuvajana Sramika Rythu Congress Party,GURUMOORTHY MADDILA,632228,14569,Thirupathi(SC),23
Yuvajana Sramika Rythu Congress Party,P V MIDHUN REDDY,644844,76071,Rajampet,24
Rashtriya Janata Dal,MISHA BHARTI,613283,85174,Patliputra,31
Rashtriya Janata Dal,SUDHAKAR SINGH,438345,30091,Buxar,33
Rashtriya Janata Dal,SURENDRA PRASAD YADAV,443035,142591,Jahanabad,36
Rashtriya Janata Dal,ABHAY KUMAR SINHA,465567,79111,Aurangabad,37
Communist Party of India  (Marxist),K.RADHAKRISHNAN,403447,20111,Alathur,9
Communist Party of India  (Marxist),AMRARAM,659300,72896,SIKAR,5
Communist Party of India  (Marxist),SACHITHANANTHAM R,670149,443821,DINDIGUL,22
Communist Party of India  (Marxist),VENKATESAN S,430323,209409,MADURAI,32
Indian Union Muslim League,E.T.  MOHAMMED BASHEER,644006,300118,Malappuram,6
Indian Union Muslim League,DR. M.P ABDUSSAMAD SAMADANI,562516,235760,Ponnani,7
Indian Union Muslim League,NAVASKANI K,509664,166782,RAMANATHAPURAM,35
Aam Aadmi Party,DR. RAJ KUMAR CHABBEWAL,303859,44111,Hoshiarpur,5
Aam Aadmi Party,MALVINDER SINGH KANG,313217,10846,Anandpur Sahib,6
Aam Aadmi Party,GURMEET SINGH MEET HAYER,364085,172560,Sangrur,12
Jharkhand Mukti Morcha,VIJAY KUMAR HANSDAK,613371,178264,Rajmahal,1
Jharkhand Mukti Morcha,NALIN SOREN,547370,22527,Dumka,2
Jharkhand Mukti Morcha,JOBA MAJHI,520164,168402,Singhbhum,10
Janasena Party,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491,Kakinada,6
Janasena Party,BALASHOWRY VALLABHANENI,724439,223179,Machilipatnam,11
Communist Party of India  (Marxist-Leninist)  (Liberation),SUDAMA PRASAD,529382,59808,Arrah,32
Communist Party of India  (Marxist-Leninist)  (Liberation),RAJA RAM SINGH,380581,105858,Karakat,35
Janata Dal  (Secular),H.D. KUMARASWAMY,851881,284620,Mandya,20
Janata Dal  (Secular),M. MALLESH BABU,691481,71388,Kolar,28
Viduthalai Chiruthaigal Katchi,RAVIKUMAR. D,477033,70703,VILUPPURAM,13
Viduthalai Chiruthaigal Katchi,THIRUMAAVALAVAN THOL,505084,103554,CHIDAMBARAM,27
Communist Party of India,"SUBBARAYAN, K.",472739,125928,TIRUPPUR,18
Communist Party of India,SELVARAJ V,465044,208957,NAGAPATTINAM,29
Rashtriya Lok Dal,CHANDAN CHAUHAN,404493,37508,Bijnor,4
Rashtriya Lok Dal,DR RAJKUMAR SANGWAN,488967,159459,Baghpat,11
Jammu & Kashmir National Conference,AGA SYED RUHULLAH MEHDI,356866,188416,SRINAGAR,2
Jammu & Kashmir National Conference,MIAN ALTAF AHMAD,521836,281794,ANANTNAG-RAJOURI,3
"United People’s Party, Liberal",JOYANTA BASUMATARY,488995,51583,Kokrajhar,1
Asom Gana Parishad,PHANI BHUSAN CHOUDHURY,860113,222351,Barpeta,3
Hindustani Awam Morcha (Secular),JITAN RAM MANJHI,494960,101812,Gaya,38
Kerala Congress,ADV K FRANCIS GEORGE,364631,87266,Kottayam,14
Revolutionary Socialist Party,N K PREMACHANDRAN,443628,150302,Kollam,18
Nationalist Congress Party,TATKARE SUNIL DATTATREY,508352,82784,Raigad,32
Voice of the People Party,DR. RICKY ANDREW J. SYNGKON,571078,371910,Shillong,1
Zoram People’s Movement,RICHARD VANLALHMANGAIHA,208552,68288,MIZORAM,1
Shiromani Akali Dal,HARSIMRAT KAUR BADAL,376558,49656,Bathinda,11
Rashtriya Loktantrik Party,HANUMAN BENIWAL,596955,42225,NAGAUR,14
Bharat Adivasi Party,RAJ KUMAR ROAT,820831,247054,BANSWARA,20
Sikkim Krantikari Morcha,INDRA HANG SUBBA,164396,80830,Sikkim,1
Marumalarchi Dravida Munnetra Kazhagam,DURAI VAIKO,542213,313094,TIRUCHIRAPPALLI,24
Aazad Samaj Party (Kanshi Ram),CHANDRASHEKHAR,512552,151473,Nagina,5
Apna Dal (Soneylal),ANUPRIYA PATEL,471631,37810,Mirzapur,79
AJSU Party,CHANDRA PRAKASH CHOUDHARY,451139,80880,Giridih,6
All India Majlis-E-Ittehadul Muslimeen,ASADUDDIN OWAISI,661981,338087,Hyderabad,9
Independent,RAJESH RANJAN ALIAS PAPPU YADAV,567556,23847,Purnia,12
Independent,VISHAL (DADA) PRAKASHBAPU PATIL,571666,100053,Sangli,44
Independent,AMRITPAL SINGH,404430,197120,Khadoor Sahib,3
Independent,SARABJEET SINGH KHALSA,298062,70053,Faridkot,9
Independent,PATEL UMESHBHAI BABUBHAI,42523,6225,Daman & Diu,1
Independent,ABDUL RASHID SHEIKH,472481,204142,BARAMULLA,1
Independent,MOHMAD HANEEFA,65259,27862,Ladakh,1
